"T350000","C6348236","1/3/85","M","NEW DELHI","236889.68","14/8/16","151255","1380"
"T350001","C5068021","2/12/85","M","CHENNAI","9362.39","14/8/16","151610","425"
"T350002","C1833934","23/7/87","M","G B  NAGAR","6432.49","14/8/16","154411","398"
"T350003","C6767883","4/1/91","F","GHAZIABAD","46936.18","14/8/16","150803","481"
"T350004","C2136563","10/2/75","M","GARDEN NAVI MUMBAI THANE","747221.66","14/8/16","151929","3982.41"
"T350005","C8325226","23/11/90","F","JHANSI","6462.87","14/8/16","151420","1259"
"T350006","C1536174","27/3/87","M","GURGAON","13936.98","14/8/16","152102","91"
"T350007","C8430368","11/7/91","M","SUBURBAN TEHSIL BORIVALI MUMBAI","4504.45","14/8/16","165437","2047.2"
"T350008","C5721364","21/11/85","F","AHMEDABAD","42931.05","14/8/16","164213","1999"
"T350009","C5935429","29/3/83","F","MUMBAI","737.44","14/8/16","164516","3407"
"T350010","C4317875","24/8/90","M","NAVI MUMBAI","14760.74","14/8/16","164910","414"
"T350011","C7027344","1/1/1800","M","NEW DELHI","54781.81","14/8/16","162744","378"
"T350012","C1744086","25/7/78","M","BANGALORE","60873.79","14/8/16","161520","1000"
"T350013","C5729230","14/3/86","M","DELHI","44564.74","14/8/16","154934","1580"
"T350014","C5133418","16/6/86","F","REWARI","142631.84","14/8/16","160000","1989"
"T350015","C2316246","29/11/72","F","DEHRADUN","4959.8","14/8/16","155959","4617"
"T350016","C3737842","4/3/95","M","FIROZABAD","1720.36","14/8/16","160752","200"
"T350017","C3364036","16/5/78","F","GURGAON","115159.55","14/8/16","160331","1149"
"T350018","C4324666","19/1/93","F","MUMBAI","48499.1","14/8/16","160333","8075"
"T350019","C1027050","14/9/91","F","MUMBAI","24927.26","14/8/16","160613","786"
"T350020","C8940913","30/10/68","M","NAVI MUMBAI","967820.87","14/8/16","160614","2275"
"T350021","C8019884","19/7/52","M","DHARAMSHALA","19853.6","14/8/16","102417","549"
"T350022","C1415490","11/7/75","M","HUBLI","481436.21","14/8/16","155814","352"
"T350023","C7013736","3/11/92","M","FARIDABAD","32.29","14/8/16","160029","320"
"T350024","C7628827","17/10/85","F","NEW DELHI","30758.63","14/8/16","160357","2000"
"T350025","C1398838","27/9/90","F","DEHRADUN","17287.93","14/8/16","160410","23"
"T350026","C1969717","16/4/60","F","NASHIK","2702.02","14/8/16","160427","10200"
"T350027","C3040840","1/9/53","M","MUMBAI","183302.15","14/8/16","160905","1890"
"T350028","C3023331","21/3/82","M","SINGAPORE","342967.43","14/8/16","155513","9700"
"T350029","C4426440","30/12/86","F","HYDERABAD","292107.56","14/8/16","155246","717"
"T350030","C3335243","4/6/79","F","BHUBANESWAR","68719.53","14/8/16","102558","100"
"T350031","C5924963","12/5/77","M","NEW DELHI","83241.47","14/8/16","155605","950"
"T350032","C3716433","5/6/89","M","ERODE","9302.19","14/8/16","160943","250"
"T350033","C2717621","21/2/82","M","LUDHIANA","164550.29","14/8/16","154622","2505"
"T350034","C3841937","7/5/75","M","BANGALORE","20429.04","14/8/16","130041","1300"
"T350035","C8442888","10/7/88","M","BANGALORE","9183.54","14/8/16","130043","4610"
"T350036","C6515520","2/7/84","M","THANE","51058.29","14/8/16","125609","1200"
"T350037","C7642634","14/12/89","F","NEW DELHI","82.4","14/8/16","132329","416"
"T350038","C1915068","3/1/90","F","AGRA","19046.78","14/8/16","121552","345"
"T350039","C3413482","1/1/1800","M","PANCHKULA","106517.25","14/8/16","115821","1620"
